sample id,correct,sentence length,num relations,token distance,char distance,variability
43220,False,25,1,18,106,0.6832740213523132
43258,False,23,1,4,19,0.6832740213523132
43021,False,16,1,4,24,0.6832740213523132
43296,False,26,1,1,9,0.6832740213523132
42828,False,33,1,13,73,0.6832740213523132
42992,False,13,1,8,45,0.6832740213523132
42946,True,10,1,3,23,0.6832740213523132
42960,False,23,1,7,39,0.6832740213523132
42964,True,23,1,6,30,0.6832740213523132
42833,False,21,1,2,13,0.6832740213523132
43273,True,33,1,4,25,0.6832740213523132
43392,True,23,1,9,38,0.6832740213523132
43351,True,28,1,13,64,0.6832740213523132
42882,False,32,1,4,26,0.6832740213523132
43219,False,19,1,4,20,0.6832740213523132
43366,False,35,1,11,81,0.6832740213523132
42786,False,30,1,15,89,0.6832740213523132
43394,True,17,1,2,11,0.6832740213523132
43176,False,29,1,9,54,0.6832740213523132
42997,False,22,1,14,85,0.6832740213523132
43014,False,31,1,26,148,0.6832740213523132
42979,False,36,1,10,54,0.6832740213523132
42967,False,30,1,12,60,0.6832740213523132
43298,False,30,1,8,54,0.6832740213523132
42961,False,23,1,4,30,0.6832740213523132
43089,False,28,1,13,78,0.6832740213523132
42798,False,14,1,9,52,0.6832740213523132
42764,True,16,1,10,57,0.6832740213523132
42947,False,27,1,2,9,0.6832740213523132
43146,True,16,1,4,20,0.6832740213523132
43137,False,31,1,6,36,0.6832740213523132
43371,False,32,1,24,146,0.6832740213523132
42771,False,25,1,4,35,0.6832740213523132
42753,False,23,1,3,22,0.6832740213523132
43310,False,25,1,4,23,0.6832740213523132
42787,False,16,1,2,9,0.6832740213523132
43339,False,27,1,5,26,0.6832740213523132
43066,False,18,1,4,34,0.6832740213523132
43368,False,16,1,11,49,0.6832740213523132
43192,True,20,1,8,39,0.6832740213523132
42755,False,20,1,5,27,0.6832740213523132
42717,True,26,1,4,20,0.6832740213523132
43378,False,13,1,2,19,0.6832740213523132
43229,False,20,1,6,48,0.6832740213523132
43223,False,35,1,4,25,0.6832740213523132
43346,False,14,1,2,15,0.6832740213523132
43389,False,26,1,9,78,0.6832740213523132
43254,False,18,1,8,46,0.6832740213523132
43399,False,13,1,6,36,0.6832740213523132
43080,False,19,1,1,10,0.6832740213523132
42769,True,23,1,3,21,0.6832740213523132
42956,False,24,1,4,27,0.6832740213523132
43068,False,17,1,2,11,0.6832740213523132
43084,True,28,1,5,31,0.6832740213523132
43083,True,19,1,3,24,0.6832740213523132
42746,False,36,1,24,135,0.6832740213523132
42780,False,21,1,5,24,0.6832740213523132
43388,True,32,1,10,52,0.6832740213523132
42865,False,24,1,11,58,0.6832740213523132
43287,False,35,1,23,130,0.6832740213523132
43256,True,19,1,12,54,0.6832740213523132
42734,True,31,1,7,33,0.6832740213523132
43145,True,25,1,3,18,0.6832740213523132
43356,False,25,1,2,12,0.6832740213523132
43175,False,14,1,9,66,0.6832740213523132
43262,False,14,1,4,23,0.6832740213523132
43387,True,19,1,8,39,0.6832740213523132
42987,False,30,1,12,72,0.6832740213523132
42939,True,29,1,12,84,0.6832740213523132
43274,True,28,1,20,115,0.6832740213523132
42793,False,21,1,9,67,0.6832740213523132
43162,True,19,1,10,66,0.6832740213523132
43121,False,28,1,20,105,0.6832740213523132
43208,True,19,1,2,12,0.6832740213523132
43294,True,32,1,5,30,0.6832740213523132
42991,True,29,1,9,53,0.6832740213523132
43206,False,25,1,12,83,0.6832740213523132
42806,False,35,1,9,37,0.6832740213523132
43295,True,33,1,12,69,0.6832740213523132
42861,False,18,1,5,24,0.6832740213523132
43011,False,25,1,15,101,0.6832740213523132
42914,True,26,1,9,58,0.6832740213523132
43207,False,10,1,2,9,0.6832740213523132
43017,True,33,1,7,37,0.6832740213523132
43142,False,33,1,11,64,0.6832740213523132
43097,False,33,1,2,14,0.6832740213523132
43285,True,30,1,15,76,0.6832740213523132
43033,False,25,1,13,61,0.6832740213523132
43358,False,27,1,13,80,0.6832740213523132
43222,True,29,1,13,73,0.6832740213523132
42840,False,31,1,11,52,0.6832740213523132
42955,False,27,1,18,103,0.6832740213523132
42976,True,16,1,6,34,0.6832740213523132
43026,False,23,1,10,57,0.6832740213523132
42723,False,22,1,19,106,0.6832740213523132
43324,False,34,1,1,7,0.6832740213523132
43348,True,33,1,18,108,0.6832740213523132
42830,False,13,1,7,44,0.6832740213523132
43166,False,32,1,8,56,0.6832740213523132
42768,False,20,1,10,59,0.6832740213523132
42747,False,14,1,6,39,0.6832740213523132
43184,True,15,1,5,30,0.6832740213523132
43018,False,20,1,4,32,0.6832740213523132
43030,False,29,1,4,24,0.6832740213523132
43329,False,15,1,4,23,0.6832740213523132
43213,False,27,1,5,19,0.6832740213523132
43398,False,25,1,3,18,0.6832740213523132
42831,False,16,1,5,30,0.6832740213523132
42726,False,17,1,2,15,0.6832740213523132
43260,False,26,1,8,45,0.6832740213523132
42981,False,27,1,9,61,0.6832740213523132
43067,True,18,1,9,62,0.6832740213523132
42875,False,31,1,11,66,0.6832740213523132
43022,False,9,1,3,20,0.6832740213523132
42926,False,20,1,12,72,0.6832740213523132
43242,False,23,1,7,35,0.6832740213523132
43354,True,21,1,5,32,0.6832740213523132
42720,False,32,1,11,71,0.6832740213523132
43046,False,34,1,21,125,0.6832740213523132
43131,True,27,1,12,76,0.6832740213523132
42819,False,35,1,10,54,0.6832740213523132
42736,True,28,1,3,19,0.6832740213523132
43165,False,21,1,4,20,0.6832740213523132
43008,True,25,1,6,40,0.6832740213523132
42702,False,29,1,7,42,0.6832740213523132
43086,False,29,1,8,50,0.6832740213523132
42758,True,24,1,4,29,0.6832740213523132
42743,False,29,1,3,23,0.6832740213523132
42846,False,16,1,6,37,0.6832740213523132
