sample id,correct,sentence length,num relations,token distance,char distance,variability
0,True,31,1,4,21,0.15981735159817356
1,True,46,1,3,15,0.15981735159817356
2,True,49,1,2,13,0.15981735159817356
3,False,60,1,26,152,0.3550087873462215
4,False,39,1,9,48,0.15981735159817356
5,False,33,2,13,66,0.15981735159817356
5,False,33,2,13,66,0.21333333333333335
6,True,42,4,16,101,0.15981735159817356
6,True,42,4,16,101,0.06694129763130792
6,True,42,4,16,101,0.1212121212121212
6,True,42,4,16,101,0.1212121212121212
7,True,52,1,3,15,0.21273408239700375
8,True,37,4,13,73,0.1212121212121212
8,False,37,4,13,73,0.15981735159817356
8,False,37,4,13,73,0.06694129763130792
8,False,37,4,13,73,0.1212121212121212
9,True,60,1,13,80,0.30128956623681125
10,True,43,1,9,51,0.21273408239700375
11,True,16,1,4,20,0.15981735159817356
12,True,34,1,21,131,0.21273408239700375
13,True,29,1,13,67,0.15981735159817356
14,True,34,1,31,175,0.5429553264604811
15,False,91,2,44,208,0.3565891472868217
15,False,91,2,44,208,0.15981735159817356
16,True,41,2,29,159,0.5429553264604811
16,True,41,2,29,159,0.30128956623681125
17,True,73,1,30,174,0.15981735159817356
18,True,16,1,9,51,0.15981735159817356
19,False,44,1,6,43,0.3463687150837989
20,True,18,1,6,27,0.30128956623681125
21,False,28,1,5,34,0.15981735159817356
22,True,19,1,11,71,0.020408163265306124
23,True,36,1,8,52,0.15981735159817356
24,True,46,2,11,63,0.3463687150837989
24,True,46,2,11,63,0.3550087873462215
25,False,44,4,14,98,0.15981735159817356
25,False,44,4,14,98,0.06694129763130792
25,False,44,4,14,98,0.1212121212121212
25,True,44,4,14,98,0.1212121212121212
26,False,65,1,2,12,0.15981735159817356
27,True,54,2,11,62,0.30128956623681125
27,True,54,2,11,62,0.5853658536585366
28,True,25,1,3,13,0.15981735159817356
29,True,21,3,4,32,0.15981735159817356
29,True,21,3,4,32,0.1212121212121212
29,True,21,3,4,32,0.1212121212121212
30,True,33,1,9,59,0.06694129763130792
31,True,19,1,10,56,0.15981735159817356
32,True,41,4,20,102,0.1212121212121212
32,True,41,4,20,102,0.15981735159817356
32,True,41,4,20,102,0.06694129763130792
32,True,41,4,20,102,0.1212121212121212
33,True,55,1,10,52,0.15981735159817356
34,True,35,1,5,23,0.30128956623681125
35,True,51,1,16,100,0.21273408239700375
36,False,23,1,5,30,0.30128956623681125
37,True,29,1,6,33,0.020408163265306124
38,True,20,1,2,11,0.15981735159817356
39,True,67,1,13,63,0.3550087873462215
40,True,54,2,15,73,0.15981735159817356
40,True,54,2,15,73,0.06694129763130792
41,True,82,1,3,17,0.21273408239700375
42,True,22,1,10,68,0.15981735159817356
43,True,15,1,2,13,0.15981735159817356
44,False,36,1,20,115,0.15981735159817356
45,True,48,1,9,56,0.21273408239700375
46,False,51,1,28,154,0.15981735159817356
47,True,32,1,6,35,0.21273408239700375
48,True,17,2,8,47,0.15981735159817356
48,True,17,2,8,47,0.06694129763130792
49,True,42,1,5,28,0.30128956623681125
50,True,33,1,21,127,0.15981735159817356
51,False,39,1,29,162,0.5714285714285714
52,True,37,1,8,36,0.21273408239700375
53,True,24,1,5,25,0.30128956623681125
54,False,52,1,9,51,0.15981735159817356
55,True,43,1,27,157,0.21273408239700375
56,False,27,1,3,15,0.21273408239700375
57,False,64,1,7,45,0.15981735159817356
58,True,36,1,2,13,0.30128956623681125
59,True,31,2,6,30,0.30128956623681125
59,True,31,2,6,30,0.5853658536585366
60,True,22,1,7,41,0.15981735159817356
61,True,11,2,5,29,0.30128956623681125
61,True,11,2,5,29,0.5853658536585366
62,True,33,2,3,15,0.21273408239700375
62,False,33,2,16,93,0.15981735159817356
63,True,35,1,21,105,0.15981735159817356
64,True,93,1,3,16,0.15981735159817356
65,True,23,1,10,61,0.3550087873462215
66,False,58,1,30,172,0.15981735159817356
67,True,25,1,6,27,0.15981735159817356
68,True,31,1,5,28,0.30128956623681125
69,False,43,2,13,76,0.21273408239700375
69,False,43,2,25,148,0.33333333333333337
70,True,19,1,2,8,0.15981735159817356
71,True,36,2,22,141,0.15981735159817356
71,True,36,2,22,141,0.06694129763130792
72,True,30,1,9,54,0.15981735159817356
73,True,36,3,9,48,0.1212121212121212
73,True,36,3,9,48,0.15981735159817356
73,True,36,3,9,48,0.1212121212121212
74,False,70,1,15,89,0.020408163265306124
75,True,32,1,10,52,0.15981735159817356
76,True,57,1,8,37,0.15981735159817356
77,True,39,1,10,72,0.15981735159817356
78,False,43,1,21,116,0.30128956623681125
79,True,24,1,2,8,0.15981735159817356
80,True,40,3,7,41,0.1212121212121212
80,True,40,3,7,41,0.15981735159817356
80,True,40,3,7,41,0.1212121212121212
81,True,56,1,5,21,0.15981735159817356
82,True,31,1,11,50,0.15981735159817356
83,False,33,1,29,148,0.15981735159817356
84,True,35,2,13,64,0.15981735159817356
84,True,35,2,13,64,0.06694129763130792
85,True,44,1,5,28,0.21273408239700375
86,True,44,1,5,32,0.21273408239700375
87,True,28,1,2,13,0.15981735159817356
88,True,43,3,31,173,0.15981735159817356
88,True,43,3,31,173,0.1212121212121212
88,True,43,3,31,173,0.1212121212121212
89,True,45,1,16,78,0.30128956623681125
90,True,80,2,9,79,0.5429553264604811
90,True,80,2,9,79,0.30128956623681125
91,False,33,4,18,92,0.15981735159817356
91,False,33,4,18,92,0.06694129763130792
91,False,33,4,18,92,0.1212121212121212
91,False,33,4,18,92,0.1212121212121212
92,True,18,1,10,54,0.5853658536585366
93,True,31,1,16,85,0.15981735159817356
94,False,46,1,36,232,0.30128956623681125
95,True,35,1,16,87,0.30128956623681125
96,True,40,1,9,51,0.15981735159817356
97,True,31,1,4,15,0.15981735159817356
98,True,22,2,4,21,0.15981735159817356
98,True,22,2,4,21,0.21333333333333335
99,False,45,1,9,53,0.3550087873462215
100,True,56,1,13,66,0.15981735159817356
101,True,50,3,16,88,0.15981735159817356
101,True,50,3,16,88,0.21333333333333335
101,False,50,3,5,28,0.15981735159817356
102,True,53,4,34,171,0.15981735159817356
102,True,53,4,34,171,0.06694129763130792
102,True,53,4,34,171,0.1212121212121212
102,True,53,4,34,171,0.1212121212121212
103,True,41,1,12,79,0.15981735159817356
104,True,41,4,8,61,0.3463687150837989
104,False,41,4,2,23,0.3550087873462215
104,True,41,4,2,23,0.3463687150837989
104,False,41,4,8,61,0.3550087873462215
105,False,29,5,20,115,0.30128956623681125
105,False,29,5,20,115,0.5853658536585366
105,False,29,5,17,94,0.3333333333333333
105,False,29,5,17,94,0.3333333333333333
105,False,29,5,3,21,0.15981735159817356
106,True,47,1,4,30,0.15981735159817356
107,True,21,1,11,58,0.15981735159817356
108,True,18,1,3,16,0.15981735159817356
109,True,27,1,5,28,0.15981735159817356
110,True,34,3,2,9,0.15981735159817356
110,True,34,3,2,9,0.1212121212121212
110,True,34,3,2,9,0.1212121212121212
111,True,22,1,17,74,0.21273408239700375
112,True,32,1,5,26,0.30128956623681125
113,True,31,1,3,17,0.15981735159817356
114,True,35,2,19,101,0.15981735159817356
114,True,35,2,19,101,0.06694129763130792
115,True,40,2,16,91,0.15981735159817356
115,False,40,2,28,166,0.21273408239700375
