sample id,correct,sentence length,num relations,token distance,char distance,variability
8001,True,10,1,3,18,0.6890595009596929
8002,False,6,1,3,27,0.7418655097613883
8003,True,10,1,6,33,0.8938906752411576
8004,True,11,1,4,18,0.8181818181818182
8005,False,18,1,15,86,0.7145038167938931
8006,True,21,1,4,19,0.7351524879614768
8007,False,25,1,6,31,0.7418655097613883
8008,True,26,1,4,28,0.7827956989247311
8009,False,21,1,4,27,0.7351524879614768
8010,False,10,1,3,19,0.6890595009596929
8011,True,9,1,4,31,0.8181818181818182
8013,True,8,1,2,11,0.8181818181818182
8014,True,28,1,1,10,0.7418655097613883
8015,True,22,1,5,26,0.7456310679611651
8016,True,16,1,5,24,0.7456310679611651
8017,True,8,1,4,23,0.8181818181818182
8019,True,27,1,3,16,0.7827956989247311
8020,True,10,1,7,41,0.7418655097613883
8021,True,16,1,3,19,0.6890595009596929
8022,True,19,1,4,14,0.618798955613577
8023,True,16,1,1,9,0.7418655097613883
8025,True,11,1,1,7,0.7456310679611651
8026,True,11,1,1,8,0.7418655097613883
8027,False,18,1,5,35,0.7145038167938931
8030,False,15,1,3,22,0.7456310679611651
8031,False,27,1,7,37,0.7145038167938931
8032,True,15,1,4,27,0.6890595009596929
8033,True,31,1,3,13,0.7351524879614768
8034,False,25,1,10,52,0.7418655097613883
8035,True,32,1,3,12,0.7351524879614768
8036,False,41,1,10,59,0.7351524879614768
8037,True,26,1,3,14,0.7827956989247311
8038,False,14,1,8,41,0.618798955613577
8039,True,34,1,3,13,0.7827956989247311
8040,False,13,1,8,51,0.7418655097613883
8041,False,26,1,10,39,0.7145038167938931
8042,True,9,1,6,27,0.7351524879614768
8043,True,11,1,5,37,0.7145038167938931
8044,True,9,1,3,13,0.8181818181818182
8045,False,12,1,6,35,0.7456310679611651
8046,True,22,1,7,35,0.618798955613577
8048,True,18,1,7,33,0.8181818181818182
8049,False,22,1,5,31,0.6890595009596929
8051,True,14,1,3,14,0.8181818181818182
8053,True,16,1,2,8,0.7827956989247311
8055,True,46,1,5,25,0.7145038167938931
8056,True,19,1,5,28,0.7456310679611651
8058,True,14,1,8,48,0.7145038167938931
8060,True,23,1,1,5,0.7351524879614768
8061,True,17,1,2,10,0.7456310679611651
8062,True,20,1,4,29,0.7418655097613883
8063,True,11,1,8,40,0.8938906752411576
8064,True,10,1,7,37,0.7351524879614768
8065,True,9,1,3,15,0.8181818181818182
8066,True,25,1,8,56,0.7418655097613883
8069,True,16,1,6,33,0.6890595009596929
8070,False,16,1,4,25,0.7418655097613883
8072,True,20,1,6,29,0.7456310679611651
8073,True,25,1,9,51,0.7145038167938931
8074,True,16,1,4,23,0.7456310679611651
8076,True,25,1,4,25,0.7418655097613883
8078,True,26,1,6,31,0.8938906752411576
8079,True,13,1,4,21,0.8181818181818182
8080,True,25,1,7,40,0.7418655097613883
8081,True,25,1,3,11,0.7351524879614768
8082,True,39,1,3,12,0.7351524879614768
8083,False,12,1,9,46,0.7145038167938931
8084,True,24,1,3,10,0.7351524879614768
8085,False,19,1,14,88,0.6890595009596929
8086,True,13,1,7,43,0.8938906752411576
8087,False,16,1,3,21,0.6890595009596929
8088,False,15,1,6,39,0.7418655097613883
8089,True,32,1,1,7,0.7456310679611651
8090,True,11,1,3,24,0.6890595009596929
8091,True,12,1,4,28,0.7456310679611651
8093,False,11,1,6,26,0.7351524879614768
8094,True,7,1,4,20,0.7351524879614768
8096,True,13,1,7,38,0.8181818181818182
8097,True,19,1,3,15,0.6890595009596929
8098,True,29,1,3,14,0.7351524879614768
8099,True,24,1,6,35,0.8181818181818182
8100,False,26,1,5,24,0.6890595009596929
8101,True,25,1,4,23,0.6890595009596929
8102,True,21,1,7,52,0.7351524879614768
8103,True,24,1,8,54,0.7456310679611651
8104,True,13,1,3,12,0.6890595009596929
8105,True,23,1,4,21,0.7145038167938931
8107,False,12,1,4,23,0.7145038167938931
8108,True,29,1,4,27,0.7145038167938931
8109,True,16,1,1,5,0.7351524879614768
8110,False,22,1,3,19,0.7827956989247311
8112,True,14,1,6,24,0.618798955613577
8114,False,31,1,7,46,0.7418655097613883
8116,True,32,1,2,9,0.7145038167938931
8117,True,31,1,7,30,0.7418655097613883
8118,True,11,1,5,33,0.7145038167938931
8119,True,32,1,4,23,0.7827956989247311
8120,True,18,1,2,20,0.7351524879614768
8121,False,12,1,3,14,0.8181818181818182
8122,False,15,1,5,34,0.8938906752411576
8125,True,16,1,3,22,0.6890595009596929
8126,True,34,1,1,5,0.7456310679611651
8127,False,19,1,4,36,0.7456310679611651
8129,True,25,1,3,15,0.7351524879614768
8130,False,20,1,5,31,0.618798955613577
8131,True,27,1,1,10,0.8938906752411576
8132,True,15,1,4,30,0.6890595009596929
8133,False,49,1,2,13,0.7351524879614768
8135,False,34,1,16,71,0.618798955613577
8136,False,22,1,4,39,0.8938906752411576
8137,True,19,1,4,24,0.7351524879614768
8138,True,27,1,3,19,0.7827956989247311
8139,False,13,1,8,42,0.7456310679611651
