sample id,correct,sentence length,num relations,token distance,char distance,variability
2557,False,34,1,6,37,0.8167539267015707
2017,True,36,1,4,26,0.6645962732919255
1883,True,29,1,3,23,0.8167539267015707
867,False,41,3,4,23,0.8167539267015707
867,False,41,3,11,67,0.7379912663755458
867,False,41,3,7,44,0.656108597285068
1885,True,17,1,3,18,0.7379912663755458
899,True,31,1,3,15,0.6645962732919255
5085,True,20,1,10,62,0.34065934065934067
5355,True,13,1,5,28,0.7379912663755458
1045,True,37,1,2,7,0.6645962732919255
2634,True,42,1,2,14,0.7379912663755458
3083,False,2,1,1,8,0.656108597285068
4107,True,5,1,1,8,0.656108597285068
1395,False,41,1,8,39,0.8167539267015707
1790,True,15,1,2,12,0.6645962732919255
4294,False,4,1,1,8,0.656108597285068
5291,True,17,1,6,29,0.7379912663755458
4144,True,59,1,3,20,0.7379912663755458
3348,True,21,1,2,9,0.656108597285068
1632,True,29,1,4,18,0.656108597285068
5391,False,50,1,18,103,0.7379912663755458
1862,True,6,1,2,11,0.6645962732919255
4305,False,32,6,18,105,0.656108597285068
4305,False,32,6,14,77,0.656108597285068
4305,True,32,6,7,41,0.8167539267015707
4305,True,32,6,3,13,0.8167539267015707
4305,True,32,6,11,64,0.7379912663755458
4305,True,32,6,7,35,0.7379912663755458
2923,False,21,3,12,76,0.6645962732919255
2923,False,21,3,8,53,0.656108597285068
2923,False,21,3,4,23,0.656108597285068
5237,True,37,1,5,34,0.34065934065934067
5376,True,16,1,6,32,0.7379912663755458
5007,True,26,1,24,121,0.34065934065934067
1073,False,28,3,5,28,0.656108597285068
1073,True,28,3,8,50,0.7379912663755458
1073,True,28,3,3,22,0.8167539267015707
5400,False,48,2,14,72,0.7379912663755458
5400,False,48,2,4,13,0.6645962732919255
326,False,40,1,11,68,0.656108597285068
3916,False,34,2,11,58,0.6645962732919255
3916,False,34,2,13,67,0.6645962732919255
5403,False,32,2,10,43,0.7379912663755458
5403,True,32,2,20,94,0.7379912663755458
1612,True,25,1,3,18,0.6645962732919255
5404,True,17,1,14,73,0.7379912663755458
1807,True,11,1,2,11,0.6645962732919255
1905,True,6,1,2,10,0.6645962732919255
2522,True,34,1,5,23,0.7379912663755458
5385,True,32,1,4,22,0.7379912663755458
5360,True,26,1,13,54,0.7379912663755458
2417,True,24,2,7,28,0.8167539267015707
2417,False,24,2,20,99,0.8167539267015707
5779,False,18,1,4,26,0.6645962732919255
5379,True,19,1,5,31,0.7379912663755458
5087,True,26,1,10,61,0.34065934065934067
5132,True,23,1,4,23,0.34065934065934067
1367,True,40,1,2,11,0.656108597285068
4614,True,11,1,1,5,0.656108597285068
3950,True,11,1,1,5,0.656108597285068
5230,True,23,1,8,45,0.34065934065934067
1279,False,51,1,4,26,0.7379912663755458
5396,True,33,1,8,42,0.7379912663755458
2802,True,24,1,8,39,0.8167539267015707
2365,True,24,1,3,18,0.7379912663755458
5380,True,36,1,15,77,0.7379912663755458
5139,False,17,1,6,30,0.34065934065934067
361,False,29,1,3,17,0.6645962732919255
3801,True,109,1,9,44,0.8167539267015707
2306,True,39,3,7,48,0.7379912663755458
2306,True,39,3,10,62,0.7379912663755458
2306,True,39,3,3,14,0.6645962732919255
1389,True,49,2,5,28,0.8167539267015707
1389,True,49,2,9,59,0.8167539267015707
4111,True,34,3,6,34,0.7379912663755458
4111,False,34,3,10,60,0.8167539267015707
4111,False,34,3,4,26,0.656108597285068
542,True,20,1,6,26,0.7379912663755458
2421,True,33,1,2,15,0.7379912663755458
3310,True,17,1,1,7,0.656108597285068
2320,False,25,2,11,58,0.7379912663755458
2320,True,25,2,4,25,0.6645962732919255
552,True,48,6,2,11,0.6645962732919255
552,False,48,6,5,36,0.6645962732919255
552,False,48,6,7,46,0.6645962732919255
552,False,48,6,14,76,0.6645962732919255
552,True,48,6,2,10,0.6645962732919255
552,True,48,6,4,15,0.6645962732919255
4490,True,8,1,3,35,0.8167539267015707
1546,False,37,1,8,43,0.8167539267015707
5377,True,12,1,5,28,0.7379912663755458
3983,False,44,4,6,34,0.6645962732919255
3983,False,44,4,3,17,0.6645962732919255
3983,True,44,4,9,51,0.6645962732919255
3983,False,44,4,7,34,0.8167539267015707
670,True,26,1,3,19,0.7379912663755458
3733,True,3,1,1,7,0.656108597285068
1303,False,47,2,18,97,0.8167539267015707
1303,True,47,2,5,30,0.8167539267015707
4561,False,2,1,1,7,0.656108597285068
2963,False,33,5,1,7,0.656108597285068
2963,False,33,5,2,12,0.7379912663755458
2963,False,33,5,1,5,0.8167539267015707
2963,False,33,5,7,50,0.7379912663755458
2963,False,33,5,13,80,0.7379912663755458
3901,True,4,1,1,9,0.656108597285068
3303,True,19,1,1,7,0.656108597285068
3046,True,31,3,26,151,0.7379912663755458
3046,False,31,3,29,165,0.7379912663755458
