sample id,correct,sentence length,num relations,token distance,char distance,variability
10493,False,13,1,11,52,0.7145038167938931
8443,True,16,1,3,14,0.7351524879614768
8003,True,10,1,6,33,0.8938906752411576
8802,True,18,1,3,13,0.7351524879614768
8624,True,17,1,3,17,0.7351524879614768
10026,False,23,1,7,50,0.8938906752411576
9910,False,13,1,5,32,0.7827956989247311
9963,False,15,1,5,40,0.8181818181818182
8416,False,13,1,4,18,0.7351524879614768
10590,True,12,1,6,35,0.8181818181818182
8844,True,17,1,3,15,0.6890595009596929
9332,True,12,1,5,23,0.618798955613577
8090,True,11,1,3,24,0.6890595009596929
9899,False,14,1,4,25,0.7145038167938931
10547,False,8,1,5,32,0.7351524879614768
8310,True,19,1,11,64,0.7418655097613883
9194,False,25,1,3,16,0.7827956989247311
9214,True,10,1,7,34,0.7351524879614768
8126,False,34,1,1,5,0.7456310679611651
9837,True,17,1,6,26,0.8938906752411576
9825,True,21,1,3,17,0.7827956989247311
8453,True,11,1,4,29,0.7456310679611651
9864,True,17,1,6,34,0.7418655097613883
9633,False,12,1,10,66,0.8181818181818182
9443,False,13,1,2,13,0.8938906752411576
8965,True,20,1,3,15,0.7827956989247311
8523,True,14,1,2,16,0.7145038167938931
10591,True,10,1,3,17,0.7351524879614768
10566,True,9,1,5,29,0.8181818181818182
8820,True,17,1,3,11,0.7351524879614768
8187,False,18,1,4,23,0.8181818181818182
10146,False,21,1,3,23,0.7418655097613883
9920,False,17,1,5,36,0.7418655097613883
10564,True,9,1,3,14,0.8181818181818182
10596,True,15,1,3,21,0.6890595009596929
9274,False,29,1,4,21,0.7456310679611651
8202,True,25,1,4,14,0.618798955613577
10252,False,25,1,3,18,0.8938906752411576
10461,True,23,1,6,33,0.7418655097613883
9030,True,13,1,6,38,0.6890595009596929
8485,True,17,1,4,22,0.7418655097613883
10337,True,16,1,6,34,0.618798955613577
10095,True,17,1,3,11,0.8181818181818182
8907,False,16,1,8,49,0.7456310679611651
8085,False,19,1,14,88,0.6890595009596929
10266,False,26,1,3,15,0.7418655097613883
8558,True,13,1,7,50,0.8181818181818182
8151,True,9,1,4,16,0.7418655097613883
8188,False,28,1,3,22,0.7418655097613883
9945,True,18,1,5,36,0.7351524879614768
8170,True,13,1,11,76,0.8938906752411576
10643,True,13,1,6,32,0.7145038167938931
10204,True,10,1,3,21,0.6890595009596929
9079,False,24,1,3,18,0.7827956989247311
8160,True,10,1,6,41,0.6890595009596929
10167,True,14,1,4,22,0.7456310679611651
8164,True,6,1,4,34,0.7418655097613883
9140,True,16,1,11,69,0.8181818181818182
9710,True,14,1,9,44,0.7456310679611651
10349,True,42,1,6,35,0.7827956989247311
9200,False,12,1,2,12,0.8181818181818182
8606,False,13,1,7,47,0.8181818181818182
8438,True,24,1,6,27,0.7351524879614768
9744,True,27,1,8,47,0.6890595009596929
